,request_id,dish_type_id,dish_id,dish_name,dish_description,dish_price_value,dish_total_like,dish_is_available,dish_type_name,option_id,option_min_select,option_max_select,item_id,item_name,item_price
84,725868,1582679,51845842,Cần Tây + Thơm Chai Nguyên Chất ,Không đường không đas,39000.0,1,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
85,725868,1582679,14278655,Mã số 13/ thải độc gan,Củ dền- carot- táo- dưa leo,37000.0,3,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
86,725868,1582679,16057446,Cần Tây + Thơm ly lớn,,37000.0,2,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
87,725868,1582679,51846049,Cần Tây + Táo Chai Nguyên Chất,Không đường .Không đas,39000.0,6,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
88,725868,1582679,14277087,"Mã số 1/ giảm mụn, sáng da",Cam- carot- gừng- lee,37000.0,3,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
89,725868,1582679,14278366,"Mã số 6/ giảm cân, cân bằng huyết áp",Bí đao- thơm- carot- mật ong,37000.0,2,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
90,725868,1582679,63448221,Chai số 2 giảm mụn / sáng da,"Táo- bó xôi- thơm- lee ( không đường không đá)
Chai 420ml",37000.0,1,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
91,725868,1582679,14278307,"Mã số 5/ giảm cân, cân bằng huyết áp",Cần tây- mật ong,37000.0,2,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
92,725868,1582679,63448223,Chai số 3 giảm cân / cân bằng huyết áp,"Thơm- táo- carot- củ dền- cần tây( không đường không đá
Chai 420ml",37000.0,1,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
93,725868,1582679,14278492,"Mã số 9/ tăng sức đề kháng, chống cảm cúm",Carot- chanh- gừng- mật ong,37000.0,1,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
94,725868,1582679,14278746,Mã số 14/ thải độc gan,Thơm- dưa leo- carot- gưngf,37000.0,1,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
95,725868,1582679,16222177,Củ Dền+Thơm Ly  lớn,,37000.0,1,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
96,725868,1582679,14278376,"Mã số 7/ giảm cân, cân bằng huyết áp",Bí đao- cần tây- carot- củ dênf,37000.0,0,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
97,725868,1582679,52017431,Củ Dền +Thơm Chai Nguyên Chất,Không đường không đas,37000.0,0,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
98,725868,1582679,63448220,Chai Số 1 giảm mụn / sáng da,"Cam- carot- gừng- lee( không đường không đá) 
Chai 420ml",37000.0,0,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
99,725868,1582679,105732093,CẦN TÂY CHAI NGUYÊN CHẤT,KHÔNG ĐƯỜNG KHÔNG ĐAS,37000.0,0,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
100,725868,1582679,105732083,CẦN TÂY LY LỚN ,Không đươngf,37000.0,0,True,NƯỚC ÉP DETOX/ Ly Lớn,,,,,,
101,725868,1333699,2011957,Bí Đao ép,,15000.0,4,True,BÍ ĐAO,,,,,,
102,725868,1333699,12036747,Bí Đao +Thơm Ép,,20000.0,0,True,BÍ ĐAO,,,,,,
103,725868,1333699,46191885,Bí Đao +Thơm Chai Ép Nguyên Chất,,35000.0,1,True,BÍ ĐAO,,,,,,
104,725868,1333699,12124425,Bí Đao Chai Ép Nguyên Chất,"Không đá, không đươngf",30000.0,0,True,BÍ ĐAO,,,,,,
105,725868,1333699,46191845,Bí Đao +Thơm Ép Ly Lớn,,35000.0,0,True,BÍ ĐAO,,,,,,
106,725868,1333699,46191803,Bí Đao Ép Ly Lớn,,30000.0,0,True,BÍ ĐAO,,,,,,
107,725868,1404351,2049972,Trái cây dầm sữa chua,Trái cây cắt nhỏ trộn sữa chua,35000.0,10+,True,TRÁI CÂY DẦM,,,,,,
